54017613,Buprenorphine,2,
54017713,Buprenorphine,8,
54018813,Buprenorphine,2,
54018913,Buprenorphine,8,
93360021,Buprenorphine,5,
93360040,Buprenorphine,5,
93360121,Buprenorphine,10,
93360140,Buprenorphine,10,
93360221,Buprenorphine,15,
93360240,Buprenorphine,15,
93360321,Buprenorphine,20,
93360340,Buprenorphine,20,
93537856,Buprenorphine,2,
93537956,Buprenorphine,8,
93572056,Buprenorphine,2,
93572156,Buprenorphine,8,
228315303,Buprenorphine,8,
228315403,Buprenorphine,2,
228315473,Buprenorphine,2,
228315503,Buprenorphine,8,
228315573,Buprenorphine,8,
228315603,Buprenorphine,2,
378092393,Buprenorphine,2,
378092493,Buprenorphine,8,
406192303,Buprenorphine,2,
406192403,Buprenorphine,8,
490005100,Buprenorphine,2,
490005130,Buprenorphine,2,
490005160,Buprenorphine,2,
490005190,Buprenorphine,2,
12496120201,Buprenorphine,2,
12496120203,Buprenorphine,2,
12496120401,Buprenorphine,4,
12496120403,Buprenorphine,4,
12496120801,Buprenorphine,8,
12496120803,Buprenorphine,8,
12496121201,Buprenorphine,12,
12496121203,Buprenorphine,12,
12496127802,Buprenorphine,2,
12496128302,Buprenorphine,2,
12496130602,Buprenorphine,8,
12496131002,Buprenorphine,8,
16590066605,Buprenorphine,2,
16590066630,Buprenorphine,2,
16590066705,Buprenorphine,8,
16590066730,Buprenorphine,8,
16590066790,Buprenorphine,8,
23490927003,Buprenorphine,8,
23490927006,Buprenorphine,8,
23490927009,Buprenorphine,8,
35356000407,Buprenorphine,8,
35356000430,Buprenorphine,8,
35356055530,Buprenorphine,2,
35356055630,Buprenorphine,8,
35356060504,Buprenorphine,10,
35356060604,Buprenorphine,20,
35356060704,Buprenorphine,5,
42291017430,Buprenorphine,2,
42291017530,Buprenorphine,8,
42858035340,Buprenorphine,7.5,
42858049340,Buprenorphine,10,
42858058640,Buprenorphine,15,
42858075040,Buprenorphine,5,
42858083940,Buprenorphine,20,
43063018407,Buprenorphine,8,
43063018430,Buprenorphine,8,
43063066706,Buprenorphine,8,
43063075306,Buprenorphine,8,
49999039507,Buprenorphine,2,
49999039515,Buprenorphine,2,
49999039530,Buprenorphine,2,
49999063830,Buprenorphine,2,
49999063930,Buprenorphine,8,
50268014411,Buprenorphine,2,
50268014415,Buprenorphine,2,
50268014511,Buprenorphine,8,
50268014515,Buprenorphine,8,
50383028793,Buprenorphine,8,
50383029493,Buprenorphine,2,
50383092493,Buprenorphine,2,
50383093093,Buprenorphine,8,
52959030430,Buprenorphine,8,
52959074930,Buprenorphine,2,
53217013830,Buprenorphine,8,
53217024630,Buprenorphine,8,
54123011430,Buprenorphine,11.4,
54123090730,Buprenorphine,0.7,
54123091430,Buprenorphine,1.4,
54123092930,Buprenorphine,2.9,
54123095730,Buprenorphine,5.7,
54123098630,Buprenorphine,8.6,
54569549600,Buprenorphine,2,
54569573900,Buprenorphine,8,
54569573901,Buprenorphine,8,
